name,nationality,age,position,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,club,league,foot,height,weight,season_goals,season_assists
Lionel Messi,西班牙,29,W,94,94,92,87,86,96,20,67,354822581,FC Barcelona,西班牙甲级联赛,左,170,72,219,55
Cristiano Ronaldo,西班牙,31,ST,93,93,92,94,78,92,26,88,199160488,Real Madrid CF,西班牙甲级联赛,右,185,80,200,38
Manuel Neuer,德国,30,GK,90,90,60,18,55,24,15,68,125522347,FC Bayern Munich,德国甲级联赛,右,193,92,1,1
Luis Suarez,英格兰,29,ST,90,90,83,88,77,90,38,78,207063239,Liverpool,英格兰超级联赛,右,183,85,77,27
Neymar,西班牙,24,W,90,94,90,80,77,94,28,62,157579012,FC Barcelona,西班牙甲级联赛,右,175,68,9,1
Zlatan Ibrahimovic,法国,35,ST,89,89,73,90,81,88,26,80,156899984,Paris Saint-Germain,法国甲级联赛,右,196,95,144,31
Arjen Robben,德国,32,W,89,89,90,87,81,92,30,66,78161104,FC Bayern Munich,德国甲级联赛,左,180,80,65,21
Robert Lewandowski,德国,28,ST,88,89,80,85,75,86,31,81,142931079,Borussia Dortmund,德国甲级联赛,右,185,79,75,11
Thiago Silva,法国,32,FB,88,88,74,62,78,74,90,83,116602033,Paris Saint-Germain,法国甲级联赛,右,183,79,11,1
Andres Iniesta,西班牙,32,CAM,88,88,76,71,90,91,60,59,60879746,FC Barcelona,西班牙甲级联赛,右,170,68,22,31
Sergio Aguero,英格兰,28,ST,88,88,89,87,75,89,17,76,150587672,Manchester City,英格兰超级联赛,右,173,74,104,28
Eden Hazard,英格兰,25,W,88,90,90,81,84,92,29,65,191627793,Chelsea,英格兰超级联赛,右,173,74,44,18
Mesut Oezil,西班牙,28,W,88,89,72,74,89,88,20,57,88506920,Real Madrid CF,西班牙甲级联赛,左,183,76,37,44
David De Gea,英格兰,26,GK,87,90,53,19,44,22,19,52,165580160,Manchester United,英格兰超级联赛,右,193,82,0,0
Jerome Boateng,德国,28,FB,87,88,78,57,77,70,87,80,50323881,FC Bayern Munich,德国甲级联赛,右,193,90,3,2
Luka Modric,英格兰,31,CAM,87,87,76,75,86,89,72,72,155028763,Tottenham Hotspur,英格兰超级联赛,右,175,65,17,18
Gareth Bale,英格兰,27,W,87,89,94,85,80,86,62,79,72708435,Tottenham Hotspur,英格兰超级联赛,左,183,74,56,30
Philipp Lahm,德国,33,CM,87,87,71,56,83,84,90,70,81707739,FC Bayern Munich,德国甲级联赛,右,170,66,8,12
James Rodriguez,葡萄牙,25,W,87,93,78,86,84,86,40,66,162739997,FC Porto,葡萄牙超级联赛,左,180,75,9,3
Sergio Ramos,西班牙,30,FB,87,87,78,64,70,70,88,86,88466935,Real Madrid CF,西班牙甲级联赛,右,183,75,25,13
Toni Kroos,德国,26,CAM,87,89,56,84,89,84,67,67,82124314,FC Bayern Munich,德国甲级联赛,右,183,78,23,15
Sergio Busquets,西班牙,28,CM,86,87,51,58,84,78,84,77,87746758,FC Barcelona,西班牙甲级联赛,右,188,76,5,5
Petr Cech,英格兰,34,GK,86,86,48,15,28,17,15,49,86134875,Chelsea,英格兰超级联赛,左,196,90,1,2
Thibaut Courtois,西班牙,24,GK,86,90,49,22,36,18,15,59,151667920,Atlético Madrid,西班牙甲级联赛,左,198,88,1,0
Kevin de Bruyne,德国,25,ST,86,89,77,84,86,86,40,74,132629584,VfL Wolfsburg,德国甲级联赛,右,180,76,13,7
Karim Benzema,西班牙,29,ST,86,86,83,83,72,84,16,74,102051992,Real Madrid CF,西班牙甲级联赛,右,188,79,73,17
David Silva,英格兰,30,W,86,86,74,74,90,89,31,63,69794375,Manchester City,英格兰超级联赛,左,170,67,35,54
Thomas Mueller,德国,27,ST,86,88,77,81,82,80,44,80,74401792,FC Bayern Munich,德国甲级联赛,右,185,75,59,24
Angel Di Maria,西班牙,28,W,86,86,88,80,82,86,50,71,116989360,Real Madrid CF,西班牙甲级联赛,左,180,75,21,37
Franck Ribery,德国,33,W,86,86,86,75,83,90,25,58,58925084,FC Bayern Munich,德国甲级联赛,右,170,72,52,26
Diego Godin,西班牙,30,CB,86,86,68,51,66,63,87,80,172375726,Atlético Madrid,西班牙甲级联赛,右,185,73,11,4
