name,nationality,age,position,overall,potential,pace,shooting,passing,dribbling,defending,physical,market_value,club,league,foot,season_goals,season_assists
Kylian Mbappé,法国,24,ST,91,94,97,91,82,93,36,80,180000000,巴黎圣日耳曼,法甲,右,39,8
Erling Haaland,挪威,23,ST,91,93,89,94,69,85,48,87,180000000,曼城,英超,左,38,5
Rodri,西班牙,27,CDM,91,92,68,82,91,85,87,85,120000000,曼城,英超,右,7,7
Kevin De Bruyne,比利时,32,CAM,90,90,76,86,94,88,68,72,70000000,曼城,英超,右,6,16
Harry Kane,英格兰,30,ST,90,90,70,93,87,86,48,78,110000000,拜仁慕尼黑,德甲,左,36,8
Luis Suarez,英格兰,29,ST,90,90,83,88,77,90,38,78,207063239,Liverpool,英格兰超级联赛,右,77,27
Manuel Neuer,德国,30,GK,90,90,60,18,55,24,15,68,125522347,FC Bayern Munich,德国甲级联赛,右,1,1
Mohamed Salah,埃及,31,RW,89,89,89,88,83,89,43,76,65000000,利物浦,英超,左,24,11
Jude Bellingham,英格兰,20,CM,89,93,81,83,86,88,78,84,150000000,皇家马德里,西甲,右,19,6
Vinícius Júnior,巴西,23,LW,89,94,96,85,82,92,32,78,160000000,皇家马德里,西甲,右,15,5
Alisson Becker,巴西,31,GK,89,89,42,26,52,42,84,80,35000000,利物浦,英超,右,0,0
Thibaut Courtois,比利时,31,GK,89,89,40,24,50,40,85,82,30000000,皇家马德里,西甲,左,0,0
Zlatan Ibrahimovic,法国,35,ST,89,89,73,90,81,88,26,80,156899984,Paris Saint-Germain,法国甲级联赛,右,144,31
Arjen Robben,德国,32,W,89,89,90,87,81,92,30,66,78161104,FC Bayern Munich,德国甲级联赛,左,65,21
Virgil van Dijk,荷兰,32,CB,89,89,78,62,78,78,92,86,28000000,利物浦,英超,右,2,0
Son Heung-min,韩国,31,LW,88,88,89,87,82,87,40,79,55000000,热刺,英超,右,17,8
Robert Lewandowski,波兰,35,ST,88,88,68,90,78,84,42,78,25000000,巴塞罗那,西甲,右,24,8
Pedri,西班牙,21,CM,88,92,78,75,90,92,68,80,90000000,巴塞罗那,西甲,右,6,8
Eden Hazard,英格兰,25,W,88,90,90,81,84,92,29,65,191627793,Chelsea,英格兰超级联赛,右,44,18
Mesut Oezil,西班牙,28,W,88,89,72,74,89,88,20,57,88506920,Real Madrid CF,西班牙甲级联赛,左,37,44
Sergio Aguero,英格兰,28,ST,88,88,89,87,75,89,17,76,150587672,Manchester City,英格兰超级联赛,右,104,28
Thiago Silva,法国,32,FB,88,88,74,62,78,74,90,83,116602033,Paris Saint-Germain,法国甲级联赛,右,11,1
Phil Foden,英格兰,23,CAM,88,92,85,84,87,92,50,82,130000000,曼城,英超,左,16,9
Declan Rice,英格兰,24,CDM,88,91,76,68,82,80,88,88,100000000,阿森纳,英超,右,6,6
Andres Iniesta,西班牙,32,CAM,88,88,76,71,90,91,60,59,60879746,FC Barcelona,西班牙甲级联赛,右,22,31
Bukayo Saka,英格兰,22,RW,87,90,86,82,85,88,50,85,120000000,阿森纳,英超,左,15,11
Jerome Boateng,德国,28,FB,87,88,78,57,77,70,87,80,50323881,FC Bayern Munich,德国甲级联赛,右,3,2
Luka Modric,英格兰,31,CAM,87,87,76,75,86,89,72,72,155028763,Tottenham Hotspur,英格兰超级联赛,右,17,18
Gareth Bale,英格兰,27,W,87,89,94,85,80,86,62,79,72708435,Tottenham Hotspur,英格兰超级联赛,左,56,30
David De Gea,英格兰,26,GK,87,90,53,19,44,22,19,52,165580160,Manchester United,英格兰超级联赛,右,0,0
Rodrygo,巴西,22,RW,87,91,89,84,82,91,36,77,90000000,皇家马德里,西甲,左,14,8
Bruno Fernandes,葡萄牙,29,CAM,87,87,72,84,90,87,62,76,80000000,曼联,英超,右,10,8
Neymar,巴西,31,CAM,87,87,84,84,87,94,37,64,45000000,利雅得新月,沙特联,右,12,6
Antoine Griezmann,法国,32,CF,87,87,76,86,86,90,48,72,30000000,马德里竞技,西甲,左,16,7
James Rodriguez,葡萄牙,25,W,87,93,78,86,84,86,40,66,162739997,FC Porto,葡萄牙超级联赛,左,9,3
Sergio Ramos,西班牙,30,FB,87,87,78,64,70,70,88,86,88466935,Real Madrid CF,西班牙甲级联赛,右,25,13
Toni Kroos,德国,26,CAM,87,89,56,84,89,84,67,67,82124314,FC Bayern Munich,德国甲级联赛,右,23,15
Philipp Lahm,德国,33,CM,87,87,71,56,83,84,90,70,81707739,FC Bayern Munich,德国甲级联赛,右,8,12
Marco Reus,德国,27,W,86,87,90,84,83,86,40,69,95887469,Borussia Dortmund,德国甲级联赛,右,66,17
Gonzalo Higuain,西班牙,29,ST,86,86,81,85,67,84,18,76,104733266,Real Madrid CF,西班牙甲级联赛,右,117,25
Lionel Messi,阿根廷,36,RW,86,86,76,89,89,93,38,66,17500000,迈阿密国际,美职联,左,16,9
Trent Alexander-Arnold,英格兰,25,RB,86,88,78,68,85,82,78,80,70000000,利物浦,英超,右,2,9
Florian Wirtz,德国,20,CAM,86,91,80,80,87,89,52,70,85000000,勒沃库森,德甲,右,11,8
Jamal Musiala,德国,20,CAM,86,91,84,82,86,92,50,80,110000000,拜仁慕尼黑,德甲,右,10,7
Sergio Busquets,西班牙,28,CM,86,87,51,58,84,78,84,77,87746758,FC Barcelona,西班牙甲级联赛,右,5,5
Thomas Mueller,德国,27,ST,86,88,77,81,82,80,44,80,74401792,FC Bayern Munich,德国甲级联赛,右,59,24
David Silva,英格兰,30,W,86,86,74,74,90,89,31,63,69794375,Manchester City,英格兰超级联赛,左,35,54
Karim Benzema,西班牙,29,ST,86,86,83,83,72,84,16,74,102051992,Real Madrid CF,西班牙甲级联赛,右,73,17
Kevin de Bruyne,德国,25,ST,86,89,77,84,86,86,40,74,132629584,VfL Wolfsburg,德国甲级联赛,右,13,7
Petr Cech,英格兰,34,GK,86,86,48,15,28,17,15,49,86134875,Chelsea,英格兰超级联赛,左,1,2
Giorgio Chiellini,意大利,32,CB,86,86,74,54,48,50,89,83,88737216,Juventus,意大利甲级联赛,左,16,5
Alexis Sanchez,意大利,28,ST,86,87,86,81,77,86,36,79,78955801,Udinese,意大利甲级联赛,右,59,14
Cesc Fabregas,西班牙,29,CAM,86,86,64,77,92,84,60,71,48518585,FC Barcelona,西班牙甲级联赛,右,52,46
Paul Pogba,意大利,23,CM,86,91,77,84,84,88,73,89,77366956,Juventus,意大利甲级联赛,右,12,4
Xavi Hernandez,西班牙,36,CAM,86,86,66,71,92,86,62,58,63256646,FC Barcelona,西班牙甲级联赛,右,31,42
Angel Di Maria,西班牙,28,W,86,86,88,80,82,86,50,71,116989360,Real Madrid CF,西班牙甲级联赛,左,21,37
Franck Ribery,德国,33,W,86,86,86,75,83,90,25,58,58925084,FC Bayern Munich,德国甲级联赛,右,52,26
Diego Godin,西班牙,30,CB,86,86,68,51,66,63,87,80,172375726,Atlético Madrid,西班牙甲级联赛,右,11,4
Mats Hummels,德国,28,CM,86,87,64,59,80,72,88,74,92891653,Borussia Dortmund,德国甲级联赛,右,16,4
Cristiano Ronaldo,葡萄牙,38,ST,85,85,82,91,79,86,36,72,15000000,利雅得胜利,沙特联,右,35,4
Hugo Lloris,法国,30,GK,85,85,64,16,29,22,17,53,71227349,Olympique Lyonnais,法国甲级联赛,左,1,0
Gerard Pique,西班牙,29,CM,85,85,62,59,75,68,86,75,81592677,FC Barcelona,西班牙甲级联赛,右,13,0
Gavi,西班牙,19,CM,85,90,79,76,85,88,75,84,70000000,巴塞罗那,西甲,右,5,4
Edinson Cavani,意大利,29,ST,85,85,76,83,68,82,36,84,34918060,Napoli,意大利甲级联赛,右,130,10
Cole Palmer,英格兰,21,CAM,85,89,78,82,86,88,45,72,75000000,切尔西,英超,左,18,8
Luka Modrić,克罗地亚,38,CM,85,85,72,78,91,90,70,70,6000000,皇家马德里,西甲,右,2,4
Vincent Kompany,英格兰,30,FB,85,85,68,59,63,66,85,76,113908731,Manchester City,英格兰超级联赛,右,13,7
David Alaba,德国,24,CM,85,88,86,76,81,83,84,79,99968838,FC Bayern Munich,德国甲级联赛,左,11,4
Wayne Rooney,英格兰,31,ST,85,85,73,86,83,81,44,84,59784025,Manchester United,英格兰超级联赛,右,114,47
Bastian Schweinsteiger,德国,32,CM,85,85,52,79,87,80,77,78,115556064,FC Bayern Munich,德国甲级联赛,右,25,10
Arturo Vidal,意大利,29,CM,85,85,78,79,80,82,85,83,44298006,Juventus,意大利甲级联赛,右,43,9
Ivan Rakitic,西班牙,28,CAM,85,85,68,84,88,85,60,64,97480878,Sevilla FC,西班牙甲级联赛,右,40,12
Diego Costa,西班牙,28,ST,85,86,76,80,62,82,35,79,54642539,Atlético Madrid,西班牙甲级联赛,右,65,7
Santi Cazorla,英格兰,32,CAM,85,85,72,79,85,86,55,68,61244407,Arsenal,英格兰超级联赛,右,42,32
Carlos Tevez,英格兰,32,ST,85,85,88,88,74,87,44,82,43029905,Manchester City,英格兰超级联赛,右,84,29
Yaya Toure,英格兰,33,CAM,85,85,74,84,85,82,70,81,126353194,Manchester City,英格兰超级联赛,右,44,30
Miranda,西班牙,32,FB,85,85,76,51,61,64,89,77,78156669,Atlético Madrid,西班牙甲级联赛,右,6,0
Henrik Mkhitaryan,德国,27,CAM,85,86,86,80,83,88,56,74,95880111,Borussia Dortmund,德国甲级联赛,右,9,5
Andrea Barzagli,意大利,35,CB,85,85,74,39,60,62,90,79,105422224,Juventus,意大利甲级联赛,右,4,0
Eduardo Camavinga,法国,21,CM,84,89,81,70,82,83,82,84,55000000,皇家马德里,西甲,左,2,4
Laurent Koscielny,英格兰,31,FB,84,84,78,44,66,64,85,77,56752258,Arsenal,英格兰超级联赛,右,10,2
Naldo,德国,34,CM,84,84,72,77,68,64,87,64,39113884,VfL Wolfsburg,德国甲级联赛,右,21,1
John Terry,英格兰,36,GK,84,84,34,47,63,54,86,78,66422335,Chelsea,英格兰超级联赛,右,19,6
Samir Handanovic,意大利,32,GK,84,84,56,17,36,20,15,63,43948174,Inter,意大利甲级联赛,右,0,0
Pepe,西班牙,33,FB,84,84,72,55,62,58,87,77,36243619,Real Madrid CF,西班牙甲级联赛,右,8,2
Gianluigi Buffon,意大利,38,GK,84,84,46,16,41,25,13,59,74324570,Juventus,意大利甲级联赛,右,0,0
Xabi Alonso,西班牙,35,CM,84,84,32,74,91,80,76,61,49042787,Real Madrid CF,西班牙甲级联赛,右,10,22
Miralem Pjanic,意大利,26,CAM,84,86,72,78,87,86,63,67,67066187,Roma,意大利甲级联赛,右,15,10
Isco,西班牙,24,W,84,88,74,76,82,88,38,67,69787474,Real Madrid CF,西班牙甲级联赛,右,22,6
Marco Verratti,法国,24,CM,84,89,68,59,87,86,79,67,48450117,Paris Saint-Germain,法国甲级联赛,右,0,0
Joe Hart,英格兰,29,GK,84,84,60,33,36,22,16,54,96346736,Manchester City,英格兰超级联赛,右,0,0
Mario Goetze,德国,24,W,84,88,72,69,81,90,31,67,25799878,Borussia Dortmund,德国甲级联赛,右,32,11
Jordi Alba,西班牙,27,FB,84,85,92,68,72,81,82,79,98303327,FC Barcelona,西班牙甲级联赛,左,9,6
Javier Pastore,法国,27,CAM,84,85,74,77,86,88,57,64,59570584,Paris Saint-Germain,法国甲级联赛,右,28,7
Daniel Alves,西班牙,33,FB,84,84,86,75,74,83,80,71,91667334,FC Barcelona,西班牙甲级联赛,右,14,40
Pierre-Emerick Aubameyang,法国,27,ST,84,85,96,81,72,81,34,77,31703323,AS Saint-Étienne,法国甲级联赛,右,46,3
